name,address,street,street_number,postal_code,city,phone,website,rating,latitude,longitude,type
Delikatesy MDS,"11 listopada 10A, Radom 26-610",11 listopada,10A,26-610,Radom,483646932,,3.6,51.4142,21.1564,grocery_or_supermarket
Sklep HAPPI,"11 listopada 16, Radom 26-609",11 listopada,16,26-609,Radom,,,5,51.414,21.1579,grocery_or_supermarket
Sklep spożywczy,"11 listopada 16, Radom 26-609",11 listopada,16,26-609,Radom,,,0,51.4141,21.1577,grocery_or_supermarket
"Sklep spożywczy ""Piotruś""","11 listopada 45326, Radom 26-600",11 listopada,2/4,26-600,Radom,889481480,,3.6,51.4137,21.1549,grocery_or_supermarket
Małe Delikatesy,"Stanisława Zbrowskiego 112, Radom 26-600",Stanisława Zbrowskiego,112,26-600,Radom,,,4.7,51.4157,21.1777,grocery_or_supermarket
MediLeaf Natural,"1905 Roku 21/111, Radom 26-600",1905 Roku,21/111,26-600,Radom,730330381,,5,51.3897,21.1398,grocery_or_supermarket
Dietetyk Medycyny Naturalnej Radosław Tarkowski / dietetyk kliniczny Radom,"1905 Roku 21/111, Radom 26-600",1905 Roku,21/111,26-600,Radom,730330381,,5,51.3903,21.1394,grocery_or_supermarket
Stacja Paliw ORLEN,"1905 Roku 24, Radom 26-612",1905 Roku,24,26-612,Radom,242564241,,4.5,51.3915,21.1422,grocery_or_supermarket
Logis Przedsiębiorstwo Handlowo Usługowe,"1905 Roku 3, Radom 26-600",1905 Roku,3,26-600,Radom,,,4.5,51.3909,21.1436,grocery_or_supermarket
Gajmas. Sklep firmowy mięsno - spożywczy,"1905 Roku 60, Radom 26-616",1905 Roku,60,26-616,Radom,483315838,,1,51.3902,21.1328,grocery_or_supermarket
Her-Mir. PPHU. Sklep firmowy,"25 czerwca 26/32, Radom 26-610",25 czerwca,26/32,26-610,Radom,483622228,,1,51.3963,21.1609,grocery_or_supermarket
Enoteka Verona,"25 czerwca 36, Radom 26-600",25 czerwca,36,26-600,Radom,730693431,,4.7,51.3969,21.1613,grocery_or_supermarket
Jarosz Marianna. Handel detaliczny,"25 czerwca 59, Radom 26-610",25 czerwca,59,26-610,Radom,483316844,,5,51.4022,21.1632,grocery_or_supermarket
Her-Mir. PPHU. Sklep spożywczo - monopolowy. Hernik M.,"25 czerwca 85, Radom 26-610",25 czerwca,85,26-610,Radom,483446286,,3.6,51.4066,21.1657,grocery_or_supermarket
Katarzynka Art. Spożywcze Monopolowe," , Radom 26-604",,,26-604,Radom,,,5,51.3932,21.1737,grocery_or_supermarket
Fajny Sklep," , Radom 26-610",,,26-610,Radom,,,4.5,51.4056,21.1318,grocery_or_supermarket
Delikatesy," , Radom 26-610",,,26-610,Radom,,,4.9,51.396,21.1349,grocery_or_supermarket
Groszek," , Radom 26-613",,,26-613,Radom,733774134,,4.9,51.4174,21.2079,grocery_or_supermarket
Sklep ABC „Ola”," , Radom 26-616",,,26-616,Radom,,,5,51.389,21.1274,grocery_or_supermarket
Sklep Spożywczy Monopolowy," , Radom 26-617",,,26-617,Radom,,,0,51.4437,21.1453,grocery_or_supermarket
Wiejski Specjał,"Aleja Józefa Grzecznarowskiego 29/31, Radom 26-610",Aleja Józefa Grzecznarowskiego,29/31,26-610,Radom,791227373,,5,51.3815,21.1759,grocery_or_supermarket
Stacja Paliw ORLEN,"Aleja Józefa Grzecznarowskiego 46, Radom 26-600",Aleja Józefa Grzecznarowskiego,46,26-600,Radom,242561409,,4.2,51.3803,21.1753,grocery_or_supermarket
Stacja Paliw ORLEN,"Aleja Wojska Polskiego 120, Radom 26-600",Aleja Wojska Polskiego,120,26-600,Radom,242564291,,4.2,51.4135,21.2047,grocery_or_supermarket
Stacja Paliw ORLEN,"Andrzeja Struga 102, Radom 26-600",Andrzeja Struga,102,26-600,Radom,242560015,,4.2,51.4103,21.183,grocery_or_supermarket
Spozywcze,"Błędowska 10, Radom 26-617",Błędowska,10,26-617,Radom,,,3.5,51.4444,21.1371,grocery_or_supermarket
Żywność Ekologiczna - Sklep u Jacka,"Bolesława Chrobrego 30b, Radom 26-605",Bolesława Chrobrego,30b,26-605,Radom,608737381,,4,51.4116,21.1603,grocery_or_supermarket
Witaminka,"Bolesława Limanowskiego 44, Radom 26-600",Bolesława Limanowskiego,44,26-600,Radom,483600726,,4.7,51.3975,21.1371,grocery_or_supermarket
Sklep Spożywczo Przemysłowy Helena,"Borowa 2, Radom 26-604",Borowa,2,26-604,Radom,,,0,51.3718,21.1772,grocery_or_supermarket
Sklep Spożywczy Brzyk Radosław,"Brylantowa 4, Sadków 26-613",Brylantowa,4,26-613,Sadków,,,0,51.4013,21.2048,grocery_or_supermarket
Makbud. PHU. Czerwiec M.,"Cicha 2, Radom 26-610",Cicha,2,26-610,Radom,483644234,,0,51.3929,21.1474,grocery_or_supermarket
Włodarska Maria. Sklep spożywczy,"Cisowa 7, Radom 26-611",Cisowa,7,26-611,Radom,483662534,,5,51.3786,21.1573,grocery_or_supermarket
Piekarnia Cukiernia Gajda,"Czarnoleska 20, Radom 26-600",Czarnoleska,20,26-600,Radom,483318393,,4.4,51.3707,21.1365,grocery_or_supermarket
Sklep Miesny Tradycja,"Czarnoleska 21, Radom 26-616",Czarnoleska,21,26-616,Radom,,,4.6,51.3721,21.1317,grocery_or_supermarket
Mini-Max. Delikatesy. Minda J.,"Czarnoleska 23, Radom 26-616",Czarnoleska,23,26-616,Radom,483319903,,1,51.3717,21.1331,grocery_or_supermarket
"Grand s.c. PPHU. Białas Z., Kołaczek A.","Czereśniowa 6, Radom 26-612",Czereśniowa,6,26-612,Radom,483343761,,4,51.3842,21.1012,grocery_or_supermarket
Delikatesy U Pawła,"Folwarczna 32, Radom 26-601",Folwarczna,32,26-601,Radom,483310023,,4.6,51.4124,21.1385,grocery_or_supermarket
Wera. Sklep spożywczo - monopolowy. Stawski S.,"Gabriela Narutowicza 27, Radom 97-500",Gabriela Narutowicza,27,97-500,Radom,446832634,,5,51.3986,21.1417,grocery_or_supermarket
Lewiatan,"GAGARINA 6, Radom 26-600",GAGARINA,6,26-600,Radom,,,4.3,51.3853,21.1542,grocery_or_supermarket
Bakwit. Sklep spożywczy,"Generała Józefa Bema 11, Halinów 05-074",Generała Józefa Bema,11,05-074,Halinów,227838369,,0,51.4085,21.1639,grocery_or_supermarket
Lorent Marek. Sklep rolno - spożywczy,"Generała Józefa Bema 7, Halinów 05-074",Generała Józefa Bema,7,05-074,Halinów,227838753,,3,51.4076,21.1635,grocery_or_supermarket
Olszewicz Jacek. Sklep spożywczy,"Generała Leopolda Okulickiego 58/70, Radom 26-600",Generała Leopolda Okulickiego,58/70,26-600,Radom,483608339,,3,51.4063,21.1288,grocery_or_supermarket
Sklep Spożywczy,"Generała Władysława Andersa 2, Radom 26-600",Generała Władysława Andersa,2,26-600,Radom,,,0,51.4113,21.1817,grocery_or_supermarket
Cukiernia Ambrozja Katarzyna Cieślak,"Gębarzewska 36G, Radom 26-639",Gębarzewska,36G,26-639,Radom,500163423,,4.4,51.372,21.1335,grocery_or_supermarket
Zaścianek,"Gębarzewska 38, Radom 26-616",Gębarzewska,38,26-616,Radom,,,4.7,51.3717,21.135,grocery_or_supermarket
Stokrotka,"Główna 11, Radom 26-610",Główna,11,26-610,Radom,818889200,,4.3,51.4047,21.1293,grocery_or_supermarket
Delikatesy,"Idalińska 40c, Radom 26-604",Idalińska,40c,26-604,Radom,,,4.5,51.3722,21.1768,grocery_or_supermarket
Przyłucki Jacek. Sklep spożywczy,"Ignacego Daszyńskiego 4, Radom 26-605",Ignacego Daszyńskiego,4,26-605,Radom,508526131,,4.1,51.4198,21.1656,grocery_or_supermarket
Art. Spożywcze Warzywa - Owoce,"Ignacego Daszyńskiego 4, Radom 26-605",Ignacego Daszyńskiego,4,26-605,Radom,,,0,51.4198,21.1656,grocery_or_supermarket
Sklep Spożywczy ABC,"Ignacego Paderewskiego 14, Radom 26-615",Ignacego Paderewskiego,14,26-615,Radom,,,4,51.4173,21.1729,grocery_or_supermarket
Sklep Spożywczo - Monopolowy Ewa,"Jacka Malczewskiego 21, Radom 26-600",Jacka Malczewskiego,21,26-600,Radom,,,5,51.4067,21.1515,grocery_or_supermarket
Hit Sklep spożywczy Dionizy Bartel,"Jacka Malczewskiego 27, Radom 26-610",Jacka Malczewskiego,27,26-610,Radom,483631517,,0,51.4072,21.1517,grocery_or_supermarket
Fajny Sklep,"Jacka Malczewskiego 8, Radom 26-610",Jacka Malczewskiego,8,26-610,Radom,,,2.3,51.4033,21.1487,grocery_or_supermarket
Delicja,"Jana III Sobieskiego 45579, Radom 26-617",Jana III Sobieskiego,10/14,26-617,Radom,572677275,,0,51.4493,21.1487,grocery_or_supermarket
Happy Pack - Na rogu,"Jana Kantego Trzebińskiego 37B, Radom 26-617",Jana Kantego Trzebińskiego,37B,26-617,Radom,483332598,,4.7,51.4439,21.1373,grocery_or_supermarket
Robmłyn. Lipiec R.,"Janiszewska 13, Radom 26-617",Janiszewska,13,26-617,Radom,796499866,,4.9,51.4332,21.1457,grocery_or_supermarket
warzywniak owocowy zakątek,"Janusza Kusocińskiego 16, Radom 26-600",Janusza Kusocińskiego,16,26-600,Radom,508461282,,4.5,51.4099,21.1607,grocery_or_supermarket
"Sklep 'Art. Spożywcze, Warzywa i Owoce'","Janusza Kusocińskiego 16, Radom 26-609",Janusza Kusocińskiego,16,26-609,Radom,483644660,,0,51.4099,21.1607,grocery_or_supermarket
Używki Świata,"Janusza Kusocińskiego 21, Radom 26-600",Janusza Kusocińskiego,21,26-600,Radom,483070068,,4,51.4099,21.1638,grocery_or_supermarket
Grudzień Rafał. Sklep mięsno - spożywczy,"Janusza Kusocińskiego 21, Radom 26-610",Janusza Kusocińskiego,21,26-610,Radom,483640374,,4.9,51.4099,21.1638,grocery_or_supermarket
Hartwig Magdalena. Sklep warzywniczo - rybny,"Janusza Kusocińskiego 21, Radom 26-610",Janusza Kusocińskiego,21,26-610,Radom,483644660,,4.3,51.4099,21.1638,grocery_or_supermarket
Sklep spożywczy,"Janusza Kusocińskiego 32, Radom 26-610",Janusza Kusocińskiego,32,26-610,Radom,,,0,51.4094,21.1669,grocery_or_supermarket
Technobud. Orzechowski M.,"Jasna 37, Radom 26-604",Jasna,37,26-604,Radom,483651855,,5,51.3915,21.1767,grocery_or_supermarket
Sklep ABC,"Józefa Franciszka Królikowskiego 1, Radom 26-613",Józefa Franciszka Królikowskiego,1,26-613,Radom,483442676,,4.4,51.4229,21.2174,grocery_or_supermarket
Opałka Waldemar. Sklep spożywczo - przemysłowy,"Józefowska 55, Radom 26-617",Józefowska,55,26-617,Radom,483330713,,4.2,51.4412,21.163,grocery_or_supermarket
Sklepik spożywczy,"Juliana Aleksandrowicza 5, Radom 26-617",Juliana Aleksandrowicza,5,26-617,Radom,,,0,51.4379,21.1584,grocery_or_supermarket
Stacja Paliw ORLEN,"Juliusza Słowackiego 132, Radom 26-600",Juliusza Słowackiego,132,26-600,Radom,242561165,,4.3,51.3853,21.1765,grocery_or_supermarket
Sklep Ho-Ho,"Juliusza Słowackiego 19, Radom 26-610",Juliusza Słowackiego,19,26-610,Radom,,,1,51.3979,21.1617,grocery_or_supermarket
Sklep Spożywczy ABC,"Juliusza Słowackiego 234, Radom 26-604",Juliusza Słowackiego,234,26-604,Radom,483651154,,4.6,51.3747,21.1874,grocery_or_supermarket
Kiosk Ruchu,"Juliusza Słowackiego 97A, Radom 26-604",Juliusza Słowackiego,97A,26-604,Radom,504899781,,0,51.3896,21.1723,grocery_or_supermarket
Lewiatan,"Katowicka 17A, Radom 26-600",Katowicka,17A,26-600,Radom,483447005,,4.4,51.4041,21.1757,grocery_or_supermarket
Stacja Paliw ORLEN,"Kielecka 22/24A, Radom 26-600",Kielecka,22/24A,26-600,Radom,242560120,,4.2,51.4047,21.1189,grocery_or_supermarket
Stokrotka,"Kielecka 90/B, Radom 26-610",Kielecka,90/B,26-610,Radom,818889200,,4.2,51.3955,21.106,grocery_or_supermarket
PPHU Celpunkt Michał Żyła,"Klwatecka 10, Radom 26-600",Klwatecka,10,26-600,Radom,501014635,,4.5,51.442,21.1438,grocery_or_supermarket
Bakaro. Pawlikowski R.,"Komandosów 4, Radom 26-611",Komandosów,4,26-611,Radom,,,3,51.3853,21.1547,grocery_or_supermarket
Sklep Rybny,"Królowej Jadwigi 7, Radom 26-617",Królowej Jadwigi,7,26-617,Radom,,,4.3,51.4291,21.1597,grocery_or_supermarket
Mleczny Raj. Bąblewska E.,"Królowej Jadwigi 9, Radom 26-600",Królowej Jadwigi,9,26-600,Radom,483330042,,0,51.4295,21.1591,grocery_or_supermarket
Delikatesy Alfa,"Królowej Jadwigi 9B, Radom 26-600",Królowej Jadwigi,9B,26-600,Radom,501582628,,4.4,51.4295,21.159,grocery_or_supermarket
Amic Market,"Księcia Józefa Poniatowskiego 1, Radom 26-600",Księcia Józefa Poniatowskiego,1,26-600,Radom,,,3.3,51.3913,21.1543,grocery_or_supermarket
Ananas s.c. Zuba D.S.,"Księdza Andrzeja Łukasika 3, Radom 26-612",Księdza Andrzeja Łukasika,3,26-612,Radom,483626452,,0,51.3879,21.1309,grocery_or_supermarket
Masta. FPH. Malczewska M.,"Londyńska 31, Radom 26-612",Londyńska,31,26-612,Radom,483308727,,4.7,51.381,21.0985,grocery_or_supermarket
Smak-Wit. Molga A.,"Lotnicza 69, Radom 26-603",Lotnicza,69,26-603,Radom,,,5,51.3892,21.1952,grocery_or_supermarket
Kubiak Marianna. Sklep spożywczo - przemysłowy,"Lubelska 121, Radom 26-603",Lubelska,121,26-603,Radom,483814030,,4.5,51.3971,21.1959,grocery_or_supermarket
Hurtownia Chemiczna Hermes,"Lubelska 136, Radom 26-600",Lubelska,136,26-600,Radom,,,0,51.3969,21.1937,grocery_or_supermarket
Baltona Starter Duty Free Shop,"Lubelska 158, Radom 26-603",Lubelska,158,26-603,Radom,882148799,,5,51.3929,21.1995,grocery_or_supermarket
Sklep spożywczo- monopolowy Teresa Kwietniewska,"Lubelska 48, Radom 26-603",Lubelska,48,26-603,Radom,483655251,,4.3,51.3982,21.1805,grocery_or_supermarket
"Sklep Spożywczo-Przemysłowy ""Biały Domek""","Lubelska 69, Radom 26-603",Lubelska,69,26-603,Radom,729880669,,4.2,51.3981,21.1864,grocery_or_supermarket
Serafin Krzysztof. Mała gastronomia. Art. spożywcze,"Łomżyńska 16, Radom 26-604",Łomżyńska,16,26-604,Radom,790375385,,5,51.3728,21.1788,grocery_or_supermarket
Dębski Paweł. Sklep spożywczy,"Malenicka 83, Radom 26-604",Malenicka,83,26-604,Radom,483654917,,4.5,51.3751,21.1993,grocery_or_supermarket
Olejarnia - Olejove,"Malinowa 3, Radom 26-600",Malinowa,3,26-600,Radom,602658545,,0,51.4043,21.1306,grocery_or_supermarket
megares sklep,"Maratońska 16A, Radom 26-600",Maratońska,16A,26-600,Radom,483628505,,0,51.3964,21.1173,grocery_or_supermarket
Sklep spożywczo - warzywniczy,"Maratońska 3, Radom 26-612",Maratońska,3,26-612,Radom,600894083,,5,51.3905,21.1272,grocery_or_supermarket
Borki s.c. Delikatesy. Bąblewska E.,"Maratońska 3, Radom 26-612",Maratońska,3,26-612,Radom,483313512,,4,51.3905,21.1272,grocery_or_supermarket
Stacja Paliw ORLEN,"Maratońska 57, Radom 26-600",Maratońska,57,26-600,Radom,242561413,,4.2,51.3954,21.1131,grocery_or_supermarket
Warzywa Owoce Artykuły spożywcze,"Mieczysława Niedziałkowskiego 11, Radom 26-610",Mieczysława Niedziałkowskiego,11,26-610,Radom,,,5,51.4028,21.1594,grocery_or_supermarket
Sklep spożywczy,"Mikołaja Reja 45640, Radom 26-610",Mikołaja Reja,12/14,26-610,Radom,,,3.8,51.404,21.1443,grocery_or_supermarket
Gałek Barbara. Sklep spożywczo - przemysłowy,"Mleczna 20, Radom 26-617",Mleczna,20,26-617,Radom,483857761,,4.5,51.4409,21.1718,grocery_or_supermarket
Sklep Livio,"Młodzianowska 150, Radom 26-606",Młodzianowska,150,26-606,Radom,885972930,,4.2,51.3777,21.1537,grocery_or_supermarket
Lewiatan,"Młodzianowska 9, Radom 26-600",Młodzianowska,9,26-600,Radom,412463500,,3.8,51.3962,21.1404,grocery_or_supermarket
Miód Pasieka Rodzinna,"Natolin 103, Radom 26-613",Natolin,103,26-613,Radom,537382772,,5,51.4052,21.2062,grocery_or_supermarket
Mularski Edward. Sklep spożywczo - przemysłowy,"Nizinna 54, Radom 26-612",Nizinna,54,26-612,Radom,483311238,,4.7,51.3926,21.1089,grocery_or_supermarket
Sklep spożywczy Biały Domek,"Nowogrodzka 12, Radom 26-610",Nowogrodzka,12,26-610,Radom,,,4,51.3974,21.1646,grocery_or_supermarket
Artykuly Spożywcze,"Nowogrodzka 5, Radom 26-604",Nowogrodzka,5,26-604,Radom,,,0,51.3976,21.1643,grocery_or_supermarket
Na Rogu Sklep Warzywno - Spożywczy Agnieszka Pyzara,"Odrodzenia 77, Radom 26-600",Odrodzenia,77,26-600,Radom,,,5,51.3905,21.1815,grocery_or_supermarket
Her-Mir. PPHU. Sklep firmowy,"Olsztyńska 39, Radom 26-600",Olsztyńska,39,26-600,Radom,483443725,,0,51.41,21.1818,grocery_or_supermarket
Nasz Produkt. PPHU. ZPChr. Kapusta R.,"Olsztyńska 39, Radom 26-615",Olsztyńska,39,26-615,Radom,483858728,,0,51.4099,21.1818,grocery_or_supermarket
Sklep Monopolowy,"Osiedlowa 28A, Radom 26-611",Osiedlowa,28A,26-611,Radom,,,5,51.3792,21.1653,grocery_or_supermarket
"Sklep Spożywczy ""TANIOCH""","Osiedlowa 28C, Radom 26-611",Osiedlowa,28C,26-611,Radom,,,0,51.3789,21.1652,grocery_or_supermarket
"Sklep mięsny ""JANHAS""","Osiedlowa 2C, Radom 26-611",Osiedlowa,2C,26-611,Radom,,,4.2,51.3806,21.1596,grocery_or_supermarket
Art. Spożywcze I Przemysłowe U Sławka,"Owocowa 18, Radom 26-604",Owocowa,18,26-604,Radom,,,5,51.3848,21.1738,grocery_or_supermarket
Rutkowska Irena. Sklep spożywczo - przemysłowy,"Owocowa 18, Radom 26-604",Owocowa,18,26-604,Radom,483652378,,4.4,51.3849,21.1737,grocery_or_supermarket
Sklep Spożywczy ABC,"Peryferyjna 7, Radom 26-612",Peryferyjna,7,26-612,Radom,,,4.5,51.392,21.1036,grocery_or_supermarket
Czyż Beata. Sklep spożywczo - przemysłowy,"Podmiejska 32, Radom 26-604",Podmiejska,32,26-604,Radom,483653971,,4.3,51.3873,21.1834,grocery_or_supermarket
ZakupySpożywcze.radom - zakupy z dostawą do Twojego domu,"Podwalna 10 lok. 1, Radom 26-610",Podwalna,10 lok. 1,26-610,Radom,518562979,,5,51.4004,21.1432,grocery_or_supermarket
Skierczyńska Dorota. Sklep spożywczo - przemysłowy,"Południowa 16, Radom 26-606",Południowa,16,26-606,Radom,483666094,,4.5,51.3783,21.1496,grocery_or_supermarket
Delikatesy Gajda,"Posłów Greckich 1, Radom 26-616",Posłów Greckich,1,26-616,Radom,,,4.6,51.3706,21.1365,grocery_or_supermarket
Sklep spożywczo przemysłowy SHOT,"Przytycka 82, Wacyn 26-601",Przytycka,82,26-601,Wacyn,483313971,,4.3,51.4095,21.1054,grocery_or_supermarket
Niter. ZPHU,"Puszczańska 37, Radom 26-617",Puszczańska,37,26-617,Radom,483606832,,0,51.4359,21.1448,grocery_or_supermarket
Podkowińska Zofia. Firma handlowo - usługowa,"Rapackiego 21, Radom 26-605",Rapackiego,21,26-605,Radom,483847431,,0,51.4217,21.174,grocery_or_supermarket
Sklep Darko,"Romualda Traugutta 7, Radom 26-600",Romualda Traugutta,7,26-600,Radom,,,5,51.3932,21.1545,grocery_or_supermarket
Dark Artykuly Spożywcze,"Romualda Traugutta 9, Radom 26-610",Romualda Traugutta,9,26-610,Radom,,,0,51.3933,21.1545,grocery_or_supermarket
Sklep spożywczo-przemysłowy Grażyna Wit,"Sadków 46A,  26-630",Sadków,46A,26-630,,,,4.2,51.3953,21.2152,grocery_or_supermarket
Sklep Spożywczy ABC,"Sadków , Radom 26-600",Sadków,,26-600,Radom,,,4.1,51.396,21.2029,grocery_or_supermarket
Sklep Spożywczy ABC,"Sandomierska 13, Radom 26-600",Sandomierska,13,26-600,Radom,533300037,,3.3,51.3813,21.1552,grocery_or_supermarket
Lewiatan,"Sandomierska 18, Radom 26-611",Sandomierska,18,26-611,Radom,,,4.3,51.3816,21.1551,grocery_or_supermarket
Sklep spożywczo - przemysłowy,"Skaryszewska 1A, Radom 26-604",Skaryszewska,1A,26-604,Radom,483817956,,0,51.3794,21.1835,grocery_or_supermarket
Grocery store,"Skaryszewska 58, Radom 26-604",Skaryszewska,58,26-604,Radom,073-945 12 63,,0,51.3817,21.196,grocery_or_supermarket
Domi. Tomczyk J.,"Sportowa 35, Radom 26-600",Sportowa,35,26-600,Radom,514077327,,0,51.4122,21.1694,grocery_or_supermarket
Sklep Mięsny u Kasi,"Stanisława Moniuszki 12, Radom 26-600",Stanisława Moniuszki,12,26-600,Radom,,,4.2,51.3987,21.1546,grocery_or_supermarket
Bacówka Towary Tradycyjne,"Stanisława Wernera 10a, Radom 26-600",Stanisława Wernera,10a,26-600,Radom,667808055,,5,51.4085,21.1466,grocery_or_supermarket
Nasz Produkt. PPHU. ZPChr. Kapusta R.,"Stanisława Zbrowskiego 7, Radom 26-610",Stanisława Zbrowskiego,7,26-610,Radom,483858300,,0,51.4001,21.1694,grocery_or_supermarket
Stacja Paliw ORLEN,"Stanisława Żółkiewskiego 12, Radom 26-600",Stanisława Żółkiewskiego,12,26-600,Radom,242560118,,4.1,51.4248,21.1615,grocery_or_supermarket
Centrum Handlu Detalicznego Sp. z o.o.,"Stanisława Żółkiewskiego 129, Radom 26-600",Stanisława Żółkiewskiego,129,26-600,Radom,483810277,,3,51.4171,21.1986,grocery_or_supermarket
Dolina Rumianku - sklep zielarski Radom,"Stańczyka 4, Radom 26-610",Stańczyka,4,26-610,Radom,787899566,,4.9,51.4033,21.1496,grocery_or_supermarket
Tymiński Andrzej. Art. spożywcze i wyroby tytoniowe,"Staroopatowska 20, Radom 26-611",Staroopatowska,20,26-611,Radom,606334947,,3.8,51.3875,21.159,grocery_or_supermarket
Rubin. FH. Kupidura M.,"Stefana Żeromskiego 20, Radom 26-610",Stefana Żeromskiego,20,26-610,Radom,483400207,,0,51.4016,21.1499,grocery_or_supermarket
Samopomoc Chłopska. Handlowo - usługowa spółdzielnia pracy,"Stefana Żeromskiego 31, Radom 26-610",Stefana Żeromskiego,31,26-610,Radom,483623555,,0,51.4014,21.1531,grocery_or_supermarket
Kubuś. Sklep spożywczy,"Stefana Żeromskiego 77, Radom 26-610",Stefana Żeromskiego,77,26-610,Radom,483623641,,0,51.4001,21.164,grocery_or_supermarket
EcoBioFresh,"Stefana Żeromskiego 87/5A, Radom 26-600",Stefana Żeromskiego,87/5A,26-600,Radom,,,4.3,51.4001,21.1654,grocery_or_supermarket
