,Ceny sprzedaży na 10.12.2024,,
Kod asortymentu,Asortyment Rz808,Cena netto,
701-7001,Kurczak świeży ,"7,89",PLN
701-8082,"Kurczak kalibrowany (1,2-1,3) kg","8,10",PLN
701-8238,"Kurczak kalibrowany (1,35-1,45) kg","8,30",PLN
701-8312,Kurczak bez fileta,"5,30",PLN
701-7816,Kurczak tuszka b/p trybowany,"15,99",PLN
701-7003,Ćwiartka z kurczaka,"5,45",PLN
701-7004,Ćwiartka kalibrowana,"7,99",PLN
701-8453,Ćwiartka z kurczaka bez kupra,"6,99",PLN
701-8250,Ćwiartka z kurczaka w marynacie,"3,19",PLN/SZT
701-7005,Filet z kurczaka podwójny,"18,59",PLN
701-7006,Filet z kurczak pojedynczy,"18,89",PLN
701-7970,Pierś z kością ze skórą,"16,49",PLN
701-7986,Polędwiczki z kurczaka,"19,99",PLN
701-7019,Noga z kurczaka,"7,49",PLN
701-7007,Udziec z kurczaka,"7,49",PLN
701-7010,Podudzie z kurczaka,"7,10",PLN
701-7817,Mięso z nogi kurczaka B/K B/S vac,"15,59",PLN
701-7818,Mięso z nogi kurczaka B/K Z/S vac,"15,59",PLN
701-7879,Mięso z udzca kurczaka B/K B/S ,"15,59",PLN
701-7840,Mięso z udzca kurczaka B/K Z/S,"15,59",PLN
701-7012,Skrzydełka z kurczaka,"5,39",PLN
701-7018,Porcja ze skrzydełkiem z kurczaka,"3,99",PLN
701-7017,Porcje rosołowe z kurcząt krótkie (CD),"3,19",PLN
701-8367,Porcje rosołowe z kurcząt od ćwiartki,"2,19",PLN
701-7016,Porcje rosołowe z kurczat długie od nogi ,"2,39",PLN
701-8244,Porcje kuprowe z kurcząt ,"1,89",PLN
701-7860,Szyje z kurcząt bez skóry,"1,99",PLN
701-8050,Szyje z kurcząt ze skórą,"1,99",PLN
701-7021,Łapki z kurczaka ,"5,99",PLN
701-7024,Wątroba z kurczaka LUZ,"3,99",PLN
701-8128,Wątroba z kurczaka VAC,"3,99",PLN
701-7026,Żołądki z kurczaka LUZ,"5,79",PLN
701-7027,Żołądki z kurczaka VAC,"5,79",PLN
701-7022,Serca z  kurczaka LUZ ,"7,79",PLN
701-8130,Serca z  kurczaka VAC,"7,79",PLN
701-7500,Filet z indyka LUZ,"30,65",PLN
701-7884,Filet z indyka VAC,"30,65",PLN
701-7501,Udziec z indyka z/k z/s luz,"15,25",PLN
701-7520,Udziec z indyka z/k z/s vac,"15,25",PLN
701-7519,Udziec z indyka b/k b/s,"18,59",PLN
701-7506,Golonka z indyka luz,"10,79",PLN
701-8091,Golonka z indyka vac,"10,79",PLN
701-7503,Podudzie z indyka ,"9,00",PLN
701-7504,Skrzydło z indyka luz,"10,60",PLN
701-8006,Skrzydło z indyka vac,"10,60",PLN
701-7507,Szyja z indyka,"6,99",PLN
701-8208,Szyja z indyka vac,"6,99",PLN
701-8212,mięso drobne z indyka KL.IV,"9,99",PLN
701-8209,mięso drobne z indyka KL.A,"15,99",PLN
701-7505,Korpus z indyka,"3,39",PLN
701-7518,Żoładki z indyka LUZ,"14,99",PLN
701-8137,Żoładki z indyka VAC,"14,99",PLN
701-7517,Wątroba z indyka luz,"7,99",PLN
701-8123,Wątroba z indyka VAC,"7,99",PLN
701-7516,Serca z indyka luz,"7,79",PLN
701-8213,Serca z indyka vac,"7,79",PLN
701-8094,Chrząstka z indyka,"6,69",PLN
701-7826,Indyk świeży ,"14,99",PLN
701-7015,Kura rosołowa MIĘSNA ,"8,29",PLN
701-8047,Kura rosołowa MIĘSNA połówki,"8,29",PLN
701-8449,Kura rosołowa CHUDA,"7,75",PLN
701-7821,Kurczaka zagrodowy,"15,99",PLN
701-7971,Zestaw z kurczaka zagrodowego,"9,85",PLN
701-7838,Kurczak sielski,"14,99",PLN
701-7961,Kurczak kukurydziany,"14,79",PLN
701-8116,Kaczka świeża ,"13,89",PLN
701-7829,Filet z kaczki tacka,"28,99",PLN
701-7830,Noga z kaczki tacka,"32,99",PLN
701-7871,Porcje z kaczki,"6,59",PLN
701-7947,Zestaw z kaczki,"7,99",PLN
701-7870,Szyje z kaczki,"4,99",PLN
701-7869,Skrzydło z kaczki,"5,99",PLN
701-7928,Żołądki z kaczki tacka,"9,99",PLN
701-7841,Gęś,"19,99",PLN
701-8063,Skrzydło z gęsi ,"8,99",PLN
701-8065,Skrzydło z gęsi 2+3 część ,"5,99",PLN
701-7938,Szyje z gęsi,"6,49",PLN
701-7930,Porcje z gęsi ,"4,99",PLN
701-7985,Zestaw z gęsi,"8,99",PLN
701-7935,Noga z gęsi,"42,00",PLN
701-7927,Żołądki z gęsi,"13,99",PLN
701-7925,Wątroba z gęsi,"11,99",PLN
701-7923,Serca z gęsi,"14,99",PLN
701-8049,Tłuszcz z gęsi ,"24,99",PLN
701-7910,Mrożona Kaczka Pekin,"16,49",PLN
701-7922,Mrożona Noga z kaczki,"35,59",PLN
701-7921,Mrożony Filet z kaczki,"44,99",PLN
701-7940,Mrożona Porcja z kaczki,"6,99",PLN
701-7901,Mrożona Gęś ,"25,99",PLN
701-8245,Mrożone żołądki z gęsi,"14,99",PLN
701-7911,Mrożona Kura rosołowa ,"7,99",PLN
701-7949,Mrożona Perliczka ,"31,99",PLN
601-6131,Schab b/k POL LUZ,"19,89",PLN
601-6133,Schab b/k  POL VAC,"19,89",PLN
601-9831,Schab b/k  UE LUZ,"19,99",PLN
601-9830,Schab b/k UE VAC,"19,99",PLN
601-6390,Schab z/k,"17,99",PLN
601-9504,Karkówka b/k POL LUZ ,"19,65",PLN
601-6084,Karkówka b/k POL VAC,"19,65",PLN
601-9833,Karkówka b/k UE LUZ ,"19,45",PLN
601-9832,Karkówka b/k UE VAC,"19,45",PLN
601-6085,Karkówka z kością ,"17,55",PLN
601-6334,Szynka b/k POL LUZ ,"15,85",PLN
601-6335,Szynka b/k POL VAC,"15,85",PLN
601-9837,Szynka b/k UE LUZ,"15,85",PLN
601-9836,Szynka b/k UE VAC,"15,85",PLN
601-6141,Szynka b/k kulka (orzech),"18,59",PLN
601-6144,Szynka wp. zrazowa górna b/dekla,"21,49",PLN
601-6404,Łopatka b/k  POL LUZ ,"14,69",PLN
601-6094,Łopatka b/k  POL VAC,"14,69",PLN
601-9835,Łopatka b/k UE LUZ ,"14,69",PLN
601-9834,Łopatka b/k UE VAC,"14,69",PLN
601-6160,Zeberka trójkąty mięsne LUZ ,"9,85",PLN
601-6161,Zeberka trójkąty mięsne VAC,"9,85",PLN
601-9493,Boczek rolowany surowy Pamso,"24,99",PLN
601-6070,Boczek b/ż b/s,"19,99",PLN
601-6069,Boczek b/z z/s,"19,19",PLN
601-6073,Boczek z/ż z/s SZEROKI,"19,19",PLN
601-9887,Boczek b/ż z/s żebro łuskane,"19,19",PLN
601-9840,Boczek b/z z/s UE,"19,19",PLN
601-6301,Polędwiczki wp,"29,99",PLN
601-6155,Żeberka pasy,"21,99",PLN
601-6105,Mięso wp. klasy 50/50,"8,99",PLN
601-6103,Mięso wp. klasy 80/20,"14,99",PLN
601-6108,Mięso wieprzowe golonkowe,"14,49",PLN
601-6326,Słonina,"9,49",PLN
601-6122,Podgarle,"8,99",PLN
601-6076,Golonki wp przednia,"10,99",PLN
601-6079,Golonki wp tylna,"10,99",PLN
601-6113,Nogi wp,"4,59",PLN
601-6115,Ogony wp.,"3,99",PLN
601-6118,Ozory wp,"10,39",PLN
601-6088,Kości karkowe,"3,79",PLN
601-6090,Kości schabowe ,"4,79",PLN
601-6358,watroba wp.,"4,45",PLN
601-6121,Płuca wieprzowe,"6,49",PLN
601-6111,Nerki wieprzowe,"4,50",PLN
601-6138,Serca wp,"6,80",PLN
601-9498,Kości boczkowe - paluszki,"3,49",PLN
601-6110,Kośći mostki wieprzowe,"3,49",PLN
601-6382,Kości rurki wieprzowe,"1,29",PLN
601-6075,Głowy wp,"3,99",PLN
601-8442,Kark wołowy,"32,70",PLN
601-8354,Udziec wołowy,"39,40",PLN
601-8311,Pręga,"31,65",PLN
601-8256,Gulaszowe wołowe,"30,59",PLN
601-8331,Szponder wołowy,"31,65",PLN
601-8038,Łata wołowa,"31,65",PLN
601-8036,Ligawa wołowa,"53,50",PLN
601-9509,Mieso wołowe rosołowe ,"20,40",PLN
601-8441,Goleń wołowa,"32,80",PLN
601-9009,Kark cielęcy b/k,"43,60",PLN
601-9004,Gicz cielęca b/k,"38,20",PLN
601-9026,Udziec cielęcy b/k,"67,60",PLN
601-9013,Łopatka cielęca b/k,"54,50",PLN
601-9356,Wątroba cielęca,"32,20",PLN
601-9220,Górka cielęca z/k,"54,50",PLN
601-9851,Górka cielęca b/k,"52,50",PLN
601-9017,Mostek cielęcy z/k,"27,20",PLN
601-9440,Mostek cielęcy b/k,"29,49",PLN
601-9224,Kości cielęce,"7,80",PLN
601-9020,Ogony cielęce,"12,30",PLN
601-9658,Królik świezy,"28,89",PLN
601-9533,Królik mrożony,"28,89",PLN
601-9816,Wątróbka z królika,"13,49",PLN